CRIM,INDUS,CHAS,NOX,RM,AGE,MEDV-result
2.223792,15.664,0,0.6968,3.9224,78.24,1
0.904648,6.512,0,0.4304,4.5704,75.28,1
0.921376,6.512,0,0.4304,4.5608,76,1
1.957344,15.664,0,0.6968,4.2176,75.2,1
1.110392,6.512,0,0.4304,4.76,65.6,1
0.19984,17.512,0,0.4992,4.6856,78.56,1
2.65684,15.664,0.8,0.6968,4.3224,80,1
1.290256,6.512,0,0.4304,4.8768,77.52,1
1.001432,6.512,0,0.4304,4.456,78.48,1
1.903472,15.664,0,0.6968,4.904,80,1
0.672432,6.512,0,0.4304,4.4792,68.56,1
0.23272,17.512,0,0.4992,4.9392,74.88,1
0.705,17.512,0,0.4992,4.5096,75.76,1
0.203096,5.528,0,0.3584,4.3192,76.24,1
1.302912,17.512,0,0.4992,4.0152,80,1
0.790744,6.512,0,0.4304,4.6504,80,1
1.083776,6.512,0,0.4304,4.8576,80,1
1.894896,15.664,0,0.6968,3.9408,76.56,1
0.764616,6.512,0,0.4304,4.8376,71.04,1
0.179912,6.296,0,0.4192,0,75.44,1
0.985976,6.512,0,0.4304,4.9136,73.36,1
0.901264,15.664,0.8,0.6968,4.0096,70.4,1
2.187176,15.664,0,0.6968,4.4776,75.92,1
0.600208,6.512,0,0.4304,4.7392,75.28,1
0.780936,17.512,0,0.4992,4.6056,78.72,1
3.27792,15.664,0,0.6968,4.3744,80,1
1.72404,15.664,0,0.6968,4.5024,80,1
2.828008,15.664,0.8,0.6968,4.9216,66.08,1
0.30988,20.52,0,0.4648,4.4904,76.48,1
0.137368,4.104,0,0.3624,4.7728,74.72,1
0.20732,17.512,0,0.4992,4.5544,76.8,1
0.168992,6.296,0,0.4192,4.5048,80,1
0.537528,6.512,0,0.4304,4.6504,72.24,1
0.183416,5.528,0,0.3584,4.824,68.4,1
1.13108,15.664,0.8,0.6968,4.9032,76.8,1
0.281864,17.512,0,0.4992,5.1632,78.72,1
0.120304,20.52,0,0.4648,4.6848,77.6,1
0.108432,4.856,0,0.3272,4.4752,29.44,1
0.258112,17.512,0,0.4992,4.7536,74.8,1
0.965936,15.664,0,0.484,4.7,75.68,1
0.62736,6.512,0,0.4304,4.792,65.36,1
0.164864,4.688,0,0.3448,4.4744,61.2,1
0.435616,17.512,0,0.4992,4.9208,78.32,1
1.864792,15.664,0,0.6968,4.1488,75.04,1
0.260344,17.512,0,0.4992,5.1448,79.04,1
0.446224,17.512,0,0.4992,0,78.56,1
0.510368,6.512,0,0.4304,4.8768,67.6,1
0.58064,6.512,0,0.4304,4.5816,55.6,1
0.137072,8.008,0,0.4376,4.7424,70.56,1
0.618392,6.512,0,0.4304,5.196,75.52,1
0.263856,17.512,0,0.4992,4.6576,76.32,1
0.113848,8.008,0,0.4376,5.0032,67.36,1
0.153064,4.688,0,0.3448,4.484,56.16,1
0.183008,6.848,0,0.416,5.124,68.32,1
0.119456,4.104,0,0.3624,4.5928,52.96,1
0.177696,8.008,0,0.4376,4.8736,76.32,1
0.098632,8.008,0,0.4376,4.7304,74.32,1
0.078792,20.52,0,0.4648,4.7032,76.64,1
0.136032,6.296,0,0.4192,4.8032,68.72,1
0.093976,6.296,0,0.4192,4.8072,66.32,1
0.051336,4.768,0,0.3992,0,54.56,1
0.01088,3.2,0,0.328,4.7104,38.08,1
1.85112,15.664,0,0.484,4.704,77.84,1
0.120784,8.008,0,0.4376,4.8168,66.08,1
0.272048,17.512,0,0.4992,5.1664,79.12,1
